lsm6ds3c Accelerometer Non-wakeup,0,1,2,
-2.175674,2.14696,9.160323,1
-1.8005991,2.7128627,8.89113,1
-2.0760727,2.4329023,8.513364,1
-1.0869397,0.53988063,9.867402,1
1.212862,0.3397808,7.320243,1
5.0252266,-0.81924266,7.350153,1
13.120744,-3.9251266,4.6429734,1
7.872985,-7.165008,-0.97866446,1
3.2039895,-8.8956175,-1.4709877,1
4.135994,-11.155639,-1.3124632,1
3.2970104,-10.377073,-1.5457634,1
3.6658044,-10.596914,-2.0620148,1
0.11096715,-10.180862,0.7968099,1
1.7548363,-10.666904,1.1877373,1
1.695614,-10.42822,1.0259227,1
1.5326029,-10.802996,1.1793624,1
2.160719,-11.75175,-0.09571291,1
1.326222,-11.412567,-1.0292128,1
1.1159526,-7.442875,-0.92931247,1
5.5372906,-11.097612,-2.7305098,1
0.497408,-11.235498,0.13369897,1
1.3399807,-9.919745,0.7109674,1
1.3791631,-10.600802,1.0660025,1
2.4631119,-11.790335,-0.3044867,1
1.11685,-11.656037,-1.1997014,1
0.71246296,-7.3366933,-1.1823535,1
5.1003013,-12.556038,-2.82712,1
0.8392825,-10.076475,0.26859435,1
1.1826526,-10.054341,0.959821,1
1.372882,-10.532009,1.082154,1
2.2707887,-11.872289,-0.23330021,1
1.1916257,-11.215758,-1.2568301,1
1.4650056,-8.198708,-0.6795616,1
5.657231,-10.597214,-2.5106692,1
1.8173488,-10.696815,-0.50787663,1
2.1092732,-10.601999,2.1017957,1
0.14297116,-10.647163,2.0961127,1
0.8177471,-11.215159,1.204188,1
1.6821543,-10.817951,-0.072681986,1
1.6435701,-11.83191,-0.30987054,1
0.99690974,-8.244769,-1.1102697,1
5.947959,-11.36501,-2.3545375,1
1.2403795,-10.285848,0.06460621,1
1.1623136,-10.066904,1.0591232,1
1.2580265,-10.220045,0.8979067,1
2.6392834,-12.020045,0.76719874,1
1.2050853,-11.7717905,-0.7722835,1
1.6157535,-9.087043,-0.669093,1
4.5936213,-9.823135,-2.5788646,1
2.2755744,-11.012368,-1.3534403,1
1.0142577,-9.875179,1.4123635,1
2.0210378,-10.243375,0.9936196,1
2.03031,-11.184352,1.274178,1
1.1240284,-11.969497,-0.9101699,1
2.4607189,-9.815658,-1.3477573,1
2.9153552,-8.817552,-2.1475582,1
4.1871405,-10.87179,-2.0563319,1
0.6789634,-10.693225,0.6586244,1
1.1249257,-10.426426,1.7389839,1
1.3884354,-10.520344,1.8583258,1
1.7416757,-10.454242,2.2698913,1
-1.7012969,-11.814262,1.180858,1
2.5779674,-9.862617,-0.46151567,1
3.7677984,-8.956036,-2.6976085,1
3.0912278,-10.403694,-3.9026937,1
0.87188476,-10.1650095,0.60717875,1
1.753939,-10.48176,1.3660027,1
2.1424735,-10.343575,0.9592228,1
3.2937205,-12.108879,0.9379865,1
1.1105688,-11.632708,-0.9125627,1
2.1972094,-8.6706915,-0.7746763,1
5.4987063,-9.990334,-2.7062824,1
0.48095736,-10.596017,-0.19471595,1
2.0835502,-10.380962,1.4162519,1
2.216352,-10.064212,1.178166,1
3.1552358,-11.921342,0.75912297,1
1.9686948,-11.688042,-0.46181476,1
1.7431713,-9.174381,-0.09451649,1
4.6893344,-9.390633,-2.260021,1
2.8633113,-11.158929,-1.067498,1
1.1162517,-9.899107,1.7153547,1
2.0644078,-10.212268,1.3040884,1
