-2.175674,2.14696,9.160323,0.1565296,-0.12629268,-0.10155336,1
-2.175674,2.14696,9.160323,0.7235486,0.22372282,-0.229984,1
-1.8005991,2.7128627,8.89113,0.7235486,0.22372282,-0.229984,1
-1.8005991,2.7128627,8.89113,0.32237464,-0.6450547,-0.98819816,1
-2.0760727,2.4329023,8.513364,0.32237464,-0.6450547,-0.98819816,1
-2.0760727,2.4329023,8.513364,-0.3503209,-1.5927843,-0.8493831,1
-1.0869397,0.53988063,9.867402,-0.3503209,-1.5927843,-0.8493831,1
-1.0869397,0.53988063,9.867402,0.6038225,-2.0130472,-0.09605573,1
1.212862,0.3397808,7.320243,0.6038225,-2.0130472,-0.09605573,1
1.212862,0.3397808,7.320243,-1.4257175,-2.039161,0.68628687,1
5.0252266,-0.81924266,7.350153,-1.4257175,-2.039161,0.68628687,1
5.0252266,-0.81924266,7.350153,-0.23105298,-3.5397072,3.751824,1
13.120744,-3.9251266,4.6429734,-0.23105298,-3.5397072,3.751824,1
13.120744,-3.9251266,4.6429734,-0.87839836,-1.1639694,1.9230999,1
7.872985,-7.165008,-0.97866446,-0.87839836,-1.1639694,1.9230999,1
7.872985,-7.165008,-0.97866446,-1.0268342,-0.09009997,1.407392,1
3.2039895,-8.8956175,-1.4709877,-1.0268342,-0.09009997,1.407392,1
3.2039895,-8.8956175,-1.4709877,0.1913479,0.85365903,0.90955156,1
4.135994,-11.155639,-1.3124632,0.1913479,0.85365903,0.90955156,1
4.135994,-11.155639,-1.3124632,-0.04566083,0.12568182,0.12522368,1
4.135994,-11.155639,-1.3124632,-0.33123192,0.282975,0.09926268,1
3.2970104,-10.377073,-1.5457634,-0.33123192,0.282975,0.09926268,1
3.6658044,-10.596914,-2.0620148,-0.33123192,0.282975,0.09926268,1
3.6658044,-10.596914,-2.0620148,0.012827792,-0.23120569,0.08490777,1
0.11096715,-10.180862,0.7968099,0.012827792,-0.23120569,0.08490777,1
0.11096715,-10.180862,0.7968099,0.4845546,0.66246384,0.2987043,1
0.11096715,-10.180862,0.7968099,0.39873055,1.1065499,0.38284853,1
1.7548363,-10.666904,1.1877373,0.39873055,1.1065499,0.38284853,1
1.7548363,-10.666904,1.1877373,0.091168955,0.9654441,0.18814096,1
1.695614,-10.42822,1.0259227,0.091168955,0.9654441,0.18814096,1
1.5326029,-10.802996,1.1793624,0.091168955,0.9654441,0.18814096,1
1.5326029,-10.802996,1.1793624,0.050089475,0.6456655,0.3773509,1
1.5326029,-10.802996,1.1793624,-0.70155805,0.34711397,-0.3837648,1
2.160719,-11.75175,-0.09571291,-0.70155805,0.34711397,-0.3837648,1
2.160719,-11.75175,-0.09571291,-1.2215418,-0.014965758,-1.6569232,1
1.326222,-11.412567,-1.0292128,-1.2215418,-0.014965758,-1.6569232,1
1.326222,-11.412567,-1.0292128,0.31626618,-0.5639647,-0.48638713,1
1.1159526,-7.442875,-0.92931247,0.31626618,-0.5639647,-0.48638713,1
1.1159526,-7.442875,-0.92931247,0.46241137,-0.46302223,0.060473878,1
5.5372906,-11.097612,-2.7305098,0.46241137,-0.46302223,0.060473878,1
0.497408,-11.235498,0.13369897,0.46241137,-0.46302223,0.060473878,1
0.497408,-11.235498,0.13369897,0.69499147,-0.087809294,0.63665557,1
0.497408,-11.235498,0.13369897,0.494939,0.016798299,0.64780354,1
1.3399807,-9.919745,0.7109674,0.494939,0.016798299,0.64780354,1
1.3399807,-9.919745,0.7109674,0.24617144,0.08215895,0.7302679,1
1.3791631,-10.600802,1.0660025,0.24617144,0.08215895,0.7302679,1
2.4631119,-11.790335,-0.3044867,0.24617144,0.08215895,0.7302679,1
2.4631119,-11.790335,-0.3044867,-0.7124006,0.56549186,-0.46577105,1
2.4631119,-11.790335,-0.3044867,-0.86175275,0.16630317,-1.80597,1
1.11685,-11.656037,-1.1997014,-0.86175275,0.16630317,-1.80597,1
1.11685,-11.656037,-1.1997014,0.40774053,-0.44836187,-0.03955236,1
0.71246296,-7.3366933,-1.1823535,0.40774053,-0.44836187,-0.03955236,1
0.71246296,-7.3366933,-1.1823535,0.29381752,-0.37582377,0.22906773,1
5.1003013,-12.556038,-2.82712,0.29381752,-0.37582377,0.22906773,1
5.1003013,-12.556038,-2.82712,0.49310645,0.3929275,0.5405998,1
0.8392825,-10.076475,0.26859435,0.49310645,0.3929275,0.5405998,1
1.1826526,-10.054341,0.959821,0.49310645,0.3929275,0.5405998,1
1.1826526,-10.054341,0.959821,0.44255883,0.20249587,0.66704524,1
1.1826526,-10.054341,0.959821,0.18920994,0.024128467,0.67132115,1
1.372882,-10.532009,1.082154,0.18920994,0.024128467,0.67132115,1
1.372882,-10.532009,1.082154,-0.695755,0.5825956,-0.29671904,1
2.2707887,-11.872289,-0.23330021,-0.695755,0.5825956,-0.29671904,1
2.2707887,-11.872289,-0.23330021,-1.003622,0.41797224,-1.705791,1
1.1916257,-11.215758,-1.2568301,-1.003622,0.41797224,-1.705791,1
1.1916257,-11.215758,-1.2568301,0.4382829,-1.1935955,-0.7791357,1
1.4650056,-8.198708,-0.6795616,0.4382829,-1.1935955,-0.7791357,1
1.4650056,-8.198708,-0.6795616,0.70888823,-1.525591,0.14904673,1
5.657231,-10.597214,-2.5106692,0.70888823,-1.525591,0.14904673,1
5.657231,-10.597214,-2.5106692,0.5322007,-1.6413466,0.30786702,1
1.8173488,-10.696815,-0.50787663,0.5322007,-1.6413466,0.30786702,1
1.8173488,-10.696815,-0.50787663,0.74523365,-3.168312,0.40300646,1
2.1092732,-10.601999,2.1017957,0.74523365,-3.168312,0.40300646,1
2.1092732,-10.601999,2.1017957,0.41919392,-2.9580278,0.3437543,1
0.14297116,-10.647163,2.0961127,0.41919392,-2.9580278,0.3437543,1
0.8177471,-11.215159,1.204188,0.41919392,-2.9580278,0.3437543,1
0.8177471,-11.215159,1.204188,-0.106745556,-1.7616835,0.40499175,1
0.8177471,-11.215159,1.204188,-0.7638645,-1.4248012,-0.69789296,1
1.6821543,-10.817951,-0.072681986,-0.7638645,-1.4248012,-0.69789296,1
1.6821543,-10.817951,-0.072681986,-0.16279079,-1.4787085,-1.8720942,1
1.6435701,-11.83191,-0.30987054,-0.16279079,-1.4787085,-1.8720942,1
1.6435701,-11.83191,-0.30987054,0.57205844,-1.2149752,-0.9513946,1
0.99690974,-8.244769,-1.1102697,0.57205844,-1.2149752,-0.9513946,1
0.99690974,-8.244769,-1.1102697,0.54227966,-0.5523586,0.2741177,1
5.947959,-11.36501,-2.3545375,0.54227966,-0.5523586,0.2741177,1
5.947959,-11.36501,-2.3545375,0.56839335,-0.026724568,0.6259657,1
